"SYMBOL"	"energy"	"Nsites"
"CDR1as"	-26.6	67
"CYP26B1"	-17.6	1
"FUCA2"	-23.3	1
"NIPAL3"	-19	2
"BCAP29"	-17.2	3
"PPP5C"	-21.6	1
"SCTR"	-15.3	1
"SYT13"	-21	1
"NSMAF"	-15.3	1
"PSMA4"	-18	1
"FAM168A"	-22.6	1
"TRIB2"	-17.3	1
"GPKOW"	-18.1	1
"C17orf85"	-22.2	1
"DERL2"	-15.5	1
"YTHDC2"	-16.3	1
"FOXJ2"	-18.6	1
"EPHA8"	-18.2	1
"REXO1"	-19.8	1
"TNS1"	-18.2	1
"TRAM2"	-22	1
"HEATR6"	-15.3	1
"TMEM131"	-16.2	1
"DLG3"	-20.9	1
"PLOD1"	-13.7	1
"RRN3"	-16.5	1
"AQP2"	-16.3	1
"EIF2AK1"	-17.4	2
"PPP1R15A"	-18.3	1
"TRIP6"	-14.3	1
"ADAM11"	-16.5	1
"LAMP2"	-18.5	1
"EPS8L1"	-16.5	1
"RALGAPA2"	-17.6	2
"HAUS5"	-17.5	1
"GNPTG"	-18.4	1
"GLG1"	-20.5	2
"DLD"	-19.7	1
"CMTM6"	-16.2	1
"RAB26"	-18.7	1
"POLR2E"	-17.2	1
"SNAP29"	-19.7	2
"MAPK1"	-17.9	2
"LGALS1"	-14	1
"MICALL1"	-18.5	1
"TTLL12"	-23.3	1
"TAB1"	-20.9	1
"PNPLA3"	-18	4
"TXN2"	-16.2	1
"ADSL"	-20.8	1
"ACO2"	-14.1	1
"HSP90AA1"	-17.3	1
"PIGH"	-18.1	1
"TMED8"	-16.9	1
"SPTLC2"	-18.7	1
"MYL12A"	-17.1	1
"MXRA5"	-18.2	1
"PGRMC1"	-19.2	1
"NDFIP2"	-16.8	1
"C16orf70"	-16.2	1
"PLLP"	-18	1
"MAZ"	-15.4	1
"EHD4"	-19.5	1
"BMF"	-22.5	2
"VPS18"	-16.8	1
"EXTL3"	-20.9	1
"TNFRSF10A"	-21.6	1
"RELB"	-14.6	1
"FIZ1"	-21.2	1
"CNFN"	-14.3	1
"LENG1"	-15.3	1
"RAB3A"	-14	1
"UBE2D4"	-18.6	2
"ITGB8"	-18.7	2
"H2AFV"	-17.8	1
"RBM28"	-19.2	2
"GLCCI1"	-18.6	1
"CEP41"	-20.2	2
"YAE1D1"	-20	3
"FKTN"	-20.6	1
"CCSER2"	-16.6	1
"PPIF"	-15.5	1
"TBC1D12"	-18	2
"KRT37"	-15.5	1
"RPS6KB1"	-17.8	1
"CCL1"	-23	1
"LRRC59"	-22	2
"HDAC5"	-15.1	1
"TMEM97"	-18.9	1
"CD38"	-17.1	1
"PHF17"	-16.1	1
"LDHA"	-15.8	1
"PANX1"	-17.5	1
"CD69"	-17.2	1
"PRDM4"	-19.6	1
"PPM1H"	-24.7	2
"ITFG2"	-17.8	1
"RFC5"	-15.8	1
"SRSF9"	-15.4	1
"ULBP1"	-20	1
"MAPK14"	-19.7	1
"RAB44"	-16.6	1
"PTK7"	-17.7	1
"PRSS16"	-19.9	3
"PCDHB5"	-18.4	1
"PCDHB15"	-20.1	2
"BTNL8"	-16.5	2
"NUP155"	-20.5	3
"TRIM23"	-18.3	1
"CDX1"	-16.8	1
"EHHADH"	-16.4	1
"UMPS"	-18.6	2
"KLHL18"	-17	4
"WDFY1"	-18.6	1
"EIF2AK2"	-17.9	2
"APOB"	-17.9	1
"IGFBP5"	-18.3	1
"MSH6"	-17.6	1
"CDC7"	-15.1	1
"C1orf21"	-19.4	2
"NT5C1A"	-19.6	1
"AKR7A2"	-18.5	3
"SLC19A2"	-17.9	1
"TBPL1"	-18	1
"TCF21"	-20.1	1
"MED28"	-18.9	1
"ZC2HC1C"	-21	1
"YIPF4"	-21.3	2
"HELLS"	-21.4	1
"HOXB5"	-15.2	1
"PANK3"	-21.3	1
"FAM53C"	-18.7	1
"PFN2"	-16.8	1
"SERP1"	-20.2	1
"NFYB"	-20.2	1
"FZD3"	-21.4	2
"TBX2"	-22.7	1
"ZNF141"	-16.8	1
"GJB6"	-20.5	1
"MYOG"	-16.6	1
"SCRN1"	-18.8	1
"ZC3H13"	-18.8	1
"HOXC12"	-17.4	1
"SLC36A1"	-17.8	1
"KCNJ2"	-16.4	1
"INHA"	-13.1	1
"RNF114"	-18	1
"PAIP2B"	-18.6	1
"LYPD3"	-14	1
"SLC17A1"	-14.4	1
"UNC5CL"	-16.5	1
"HIST1H2BG"	-18.4	1
"HIST1H3B"	-15.7	1
"APOBEC2"	-17.7	1
"CPNE5"	-14.2	1
"ATXN1"	-17.1	1
"KATNAL2"	-17.5	1
"NIN"	-18.8	1
"NUP85"	-14.1	1
"CLPP"	-15.7	1
"C3"	-17.2	1
"TMX4"	-16.1	1
"OTOR"	-14.9	1
"SCRT2"	-16	1
"S1PR4"	-17	1
"NECAB3"	-21.5	1
"PLAGL2"	-24.7	1
"UBA2"	-17.8	2
"FFAR1"	-17.7	1
"CCR7"	-21.1	1
"BCL2L12"	-18.2	1
"BCL2L12"	-14.1	1
"L3HYPDH"	-18.6	1
"ABHD8"	-16.5	1
"PIN1"	-15.4	1
"KLF2"	-18.3	1
"GFER"	-16.3	1
"RASL11B"	-19.8	1
"GSTT1"	-14.9	1
"APOL5"	-19.7	1
"NAA38"	-19.8	1
"SMO"	-18.3	1
"PIAS1"	-19.1	1
"NFATC4"	-17.4	1
"EGLN3"	-15.7	1
"EMR1"	-14.6	1
"CHRNA10"	-19.1	1
"ANGEL1"	-16.9	1
"CDADC1"	-19.4	2
"DHRS11"	-15.4	1
"LILRA2"	-20.8	1
"ADAMTS2"	-18.6	2
"RAF1"	-17.5	2
"DHX35"	-18.1	1
"KRT6C"	-17.1	1
"GADD45G"	-17	1
"XPO7"	-18.8	1
"NUMBL"	-16.9	1
"TUBGCP2"	-16.1	1
"GATA5"	-17.6	1
"EIF2S3"	-17.7	1
"ZC3H4"	-18.7	1
"ZNF426"	-16.9	1
"ZNF236"	-19.2	1
"GRWD1"	-19	3
"GSE1"	-19.2	1
"GINS2"	-19.1	1
"ZFYVE20"	-17.8	2
"NR1H2"	-17	1
"FUS"	-18.4	1
"SLC6A11"	-15.6	1
"RPA1"	-22.7	1
"WBP2"	-13.7	1
"KDM6B"	-15.9	1
"GUCY2D"	-18.1	1
"VPS4A"	-17.9	1
"CRP"	-18.8	2
"ACY3"	-14.1	1
"MTL5"	-16.1	1
"DPH2"	-16.7	1
"ZSWIM3"	-21	1
"DMGDH"	-20	1
"SCO1"	-19	1
"SLC39A11"	-16.3	1
"KRBA1"	-17.8	2
"MICALCL"	-18.9	1
"SYNJ2BP"	-18.2	1
"TTC9"	-17.6	1
"ADAMDEC1"	-21.5	1
"ARL8B"	-16.7	1
"EDEM1"	-20.1	1
"SORT1"	-22.3	1
"NOTCH2"	-17.1	3
"SLC38A2"	-20.6	1
"GRP"	-19	1
"ITIH5"	-17.2	2
"EMP1"	-21.1	1
"TIMM10"	-21.4	1
"ADAM19"	-21.6	2
"HRK"	-16.3	2
"RNFT2"	-20.2	1
"MRAP2"	-15.8	1
"PHF21A"	-16.4	1
"EHF"	-16	1
"METTL1"	-20	1
"RAB11FIP5"	-15.5	2
"STX6"	-17.1	1
"SP110"	-16.2	1
"MRPL44"	-19.2	1
"MFSD9"	-18	1
"CHST12"	-20.1	1
"MTHFS"	-19.9	1
"ALPK3"	-16.7	1
"SRSF1"	-17.2	2
"TACO1"	-17	1
"BRIP1"	-17.8	1
"CFC1"	-15.5	1
"UGGT1"	-19.7	1
"RALGPS1"	-20.8	1
"DAB2IP"	-15.9	1
"STX17"	-18.1	1
"GABBR2"	-16.8	1
"PDCL"	-17.6	2
"CCL21"	-15.6	1
"GMPR"	-18.2	1
"PSORS1C2"	-16.9	1
"TGS1"	-16.8	1
"DCUN1D5"	-19.3	2
"C11orf1"	-18.1	1
"CTDSPL2"	-17.6	3
"NOX5"	-20.2	1
"FNBP1L"	-19	1
"ARHGAP29"	-17.5	1
"EPT1"	-28.1	2
"KIAA1598"	-14.3	1
"ATF7IP"	-17.1	1
"SLC16A7"	-16.4	1
"BCAT1"	-15.9	1
"SLCO1B3"	-17	1
"IRAK3"	-18.2	2
"FAM189A1"	-17.4	1
"C12orf49"	-18.6	3
"ZNF24"	-17	1
"LMNB1"	-14	1
"XYLT1"	-19.1	1
"KLHL5"	-16.9	1
"RSBN1"	-16.9	2
"TRAF5"	-20.4	1
"EPB41L4A"	-14.9	1
