"SYMBOL"	"energy"	"Nsites"
"M6PR"	-18.5	1
"HS3ST1"	-19.6	1
"ITGA3"	-21.3	1
"STARD3NL"	-18.7	1
"QPCTL"	-21.1	2
"UBR7"	-17.8	1
"GPRC5A"	-21.8	3
"COX15"	-18.9	2
"RGPD5"	-16.9	1
"PSD"	-18.3	1
"SYT13"	-17.4	1
"RB1CC1"	-15.5	1
"B4GALT7"	-22.9	1
"RTN4R"	-17.3	1
"NFE2L3"	-17.1	1
"FAM168A"	-20	1
"IL1RAP"	-15.1	1
"APPBP2"	-21.3	1
"PSMC4"	-17.6	1
"C17orf85"	-18.8	2
"DERL2"	-17.8	3
"EPHA8"	-18.2	1
"VASH1"	-18.9	1
"NTN1"	-21.1	1
"STK10"	-19.4	1
"HEATR6"	-19.4	1
"PCDHB2"	-16.1	1
"ZNF8"	-19.7	2
"PPP1R15A"	-17.6	3
"TFAP2C"	-16.5	1
"RALGAPA2"	-17.9	1
"GOLGA3"	-19.5	3
"CCDC80"	-18.2	1
"CDC6"	-16.7	2
"CBX5"	-18.5	2
"PSMD5"	-15.4	1
"MAPK13"	-22.7	1
"TGFBR3"	-18.3	1
"FGF22"	-19.6	1
"POLR2E"	-16.7	1
"SNAP29"	-18.1	1
"THAP7"	-15.7	1
"DDTL"	-16.5	1
"SNRPD3"	-16.1	2
"TCN2"	-17.9	1
"SLC25A1"	-16.8	1
"PLA2G3"	-17.4	1
"GTPBP1"	-18.7	1
"PPP6R2"	-18.9	1
"DNAL4"	-21.4	1
"HMGXB4"	-18.1	1
"MCM5"	-20.1	2
"RASD2"	-19.1	1
"TAB1"	-18	2
"PNPLA3"	-18.7	1
"MYH9"	-17.9	2
"FAM118A"	-17.6	2
"SIX4"	-16.8	1
"SLC10A1"	-15.4	1
"CYP24A1"	-22.2	1
"CSTF1"	-18.1	1
"UBOX5"	-23.3	2
"PTK6"	-18.9	1
"AHCY"	-16.8	1
"RNF125"	-19.9	2
"SLC25A43"	-13.2	1
"ATP1B4"	-19.3	1
"WDR13"	-20.6	3
"ORC6"	-18	1
"PLLP"	-19.2	1
"DHODH"	-18.7	1
"USB1"	-16.9	1
"NME3"	-16.2	1
"SMPD3"	-19.1	2
"SLC7A6"	-19.6	2
"PLA2G15"	-18.3	2
"BCKDK"	-21	2
"MGA"	-17.9	1
"EHD4"	-18.3	1
"RHOV"	-15.8	1
"OIP5"	-17.7	1
"DCTN6"	-19.2	3
"GSR"	-17.6	2
"TNFRSF10A"	-20.8	2
"HNRNPL"	-20.1	1
"FIZ1"	-18.6	1
"POP4"	-21.4	1
"CRX"	-18.6	1
"SLC5A5"	-18.1	2
"GSK3A"	-15.3	1
"HGF"	-15.6	1
"GTPBP10"	-19.1	2
"ITGB8"	-16.8	1
"SP4"	-17	1
"MPP6"	-18.2	1
"SERPINE1"	-21.5	1
"C1GALT1"	-17.7	1
"URGCP"	-21.9	2
"ZNF688"	-15.9	1
"TNFSF8"	-15.7	1
"OBFC1"	-18	1
"NUFIP2"	-17	1
"P2RX1"	-16.7	1
"GOSR2"	-21.8	1
"PNPO"	-17.9	1
"SLC25A11"	-21.3	1
"CPD"	-20.4	1
"AKAP10"	-17.7	1
"ABI3"	-15.2	1
"TNFAIP1"	-16.8	1
"TMEM97"	-19.6	2
"FOXN1"	-21.2	1
"PHF17"	-16.7	1
"RUFY3"	-16.1	1
"ZNF259"	-17.7	1
"TMEM109"	-19.1	1
"APOC3"	-18.2	1
"POLR3B"	-17.5	1
"CLEC2B"	-20.1	1
"MLEC"	-18.9	1
"CREBL2"	-17.2	1
"RAB35"	-19.9	1
"IYD"	-20.1	1
"MAPK14"	-17.9	2
"GPLD1"	-19.2	1
"B3GAT2"	-17.3	1
"ZBTB24"	-19.4	1
"PTK7"	-20.1	1
"SLC6A7"	-22.9	1
"PCDHB5"	-17.3	1
"PRLR"	-17.4	1
"RBP2"	-21.4	1
"PFKFB4"	-19.1	1
"UMPS"	-19.3	1
"HEMK1"	-18.1	1
"NKTR"	-17.6	1
"NEK4"	-16.1	3
"EIF2AK2"	-17.8	1
"DAZAP1"	-16.9	1
"NDUFS1"	-19.7	1
"TTL"	-19.1	2
"FAHD2A"	-20.5	1
"GGCX"	-20.4	3
"SLC1A4"	-21.2	1
"MSH6"	-15.8	1
"PLEKHA3"	-20.6	3
"WDR77"	-16.7	1
"SLC35D1"	-18.3	1
"LEPRE1"	-17.2	1
"ATIC"	-16	1
"FASTKD2"	-17	1
"FBXO30"	-17.5	1
"MED28"	-20.9	2
"ABCG2"	-18.1	1
"FGF23"	-17.3	1
"ZFAND5"	-18.1	1
"FKBP15"	-19.6	1
"FLVCR2"	-17.4	1
"ZC2HC1C"	-17.1	1
"PAPOLG"	-18.8	1
"YIPF4"	-20.1	1
"LGALSL"	-15.7	1
"CRIPT"	-18.3	1
"TMEM180"	-17.4	2
"SLC25A2"	-20.2	2
"MSANTD2"	-14.5	1
"CCDC77"	-20.4	1
"FAM53C"	-20.9	1
"SERP1"	-19	1
"FZD3"	-22.6	1
"RDH10"	-17	1
"SCRN1"	-18.9	1
"KIAA0087"	-17.2	1
"FKBP9"	-20.5	1
"ZC3HAV1"	-17.6	2
"SRGN"	-17.3	1
"RNF11"	-19.2	1
"SSPN"	-16.5	1
"ENKD1"	-16.1	1
"RAB22A"	-17.9	2
"MOCS3"	-19.9	1
"RNF114"	-17.2	1
"PEX6"	-17	1
"SSR1"	-19.9	2
"RAP2A"	-24	2
"ATP5S"	-17.6	1
"ZBTB46"	-22.3	2
"SLC35F5"	-20.2	2
"INSIG2"	-21.8	1
"TNFSF14"	-19.6	1
"DSTN"	-18	1
"TCF15"	-17.9	1
"SLC35E2"	-19.3	1
"PRRG2"	-16.3	1
"PLEKHG3"	-18	1
"MAGEC2"	-19.9	1
"F2RL3"	-21.1	1
"GFER"	-21.3	1
"GNGT1"	-13.2	1
"DGCR6L"	-17.9	1
"CYTH4"	-20.3	1
"RFPL2"	-13.2	1
"LIF"	-18.9	1
"PMPCB"	-15	1
"STRIP2"	-18.6	1
"SNAP23"	-16.1	1
"FXR2"	-16	1
"MRM1"	-17.4	1
"BCL2L2"	-21.6	1
"DOHH"	-18.9	2
"CORO7"	-20.2	1
"KHNYN"	-18.8	1
"LILRA2"	-20	1
"ADAMTS2"	-19.2	1
"TRNT1"	-13.4	1
"MED17"	-16.6	1
"DHX35"	-18	1
"TRMT2A"	-21.8	1
"DGCR14"	-21	1
"CNN1"	-17.2	2
"PVRL2"	-20.8	1
"PGLS"	-19.1	1
"ACTN4"	-19.8	1
"LSM14B"	-19.8	1
"FIBCD1"	-19	1
"GRWD1"	-20	2
"PPIL4"	-17.4	1
"ARHGEF9"	-18.1	1
"EMC8"	-16.7	2
"GINS2"	-18.2	2
"ABCB7"	-18.8	1
"TBC1D5"	-20.2	1
"G6PC"	-17.8	2
"TNS4"	-17.3	1
"FUS"	-18.9	2
"ZNF132"	-19.7	1
"LIN28A"	-18.6	1
"SDC1"	-18.7	1
"SMARCC1"	-17.7	1
"EMILIN2"	-20.9	1
"RRP8"	-18.5	1
"TIMM10B"	-17.7	1
"PTCD3"	-18.2	1
"PER2"	-16.1	1
"PER2"	-22.6	1
"SCLY"	-14.3	1
"TMEM128"	-18.1	1
"H3F3B"	-16.7	1
"GUCY2D"	-20.6	1
"CRP"	-18.6	1
"TMTC1"	-20	1
"CCDC59"	-16.5	1
"LYVE1"	-18.1	1
"SBF2"	-17.5	1
"C14orf1"	-16.2	1
"MED6"	-17.2	2
"CCNB1"	-18.5	1
"CD180"	-17.2	1
"IRAK2"	-17.6	1
"EDEM1"	-17.7	3
"CHL1"	-15	1
"SORT1"	-16.9	1
"NOTCH2"	-18.1	1
"TRIM45"	-18.7	1
"SLC38A2"	-21.3	1
"LPIN1"	-18.9	1
"NEDD4L"	-21.4	1
"RAX"	-17.5	1
"HRH4"	-16.5	1
"FAM127A"	-17.4	1
"PDGFRA"	-17.2	1
"RNFT2"	-19.1	2
"BACH2"	-17.6	1
"NAT10"	-19.5	1
"PRRG4"	-22.1	1
"AGAP2"	-18.8	1
"TMEM231"	-18.2	1
"DYNC1LI2"	-22	1
"MRPL44"	-17.7	1
"MFSD9"	-17.7	2
"TMEM127"	-16.7	1
"APPL2"	-17	1
"DRAM1"	-19.7	1
"CHST12"	-17	1
"HUS1"	-17.1	1
"TTYH3"	-22.1	1
"CALCOCO2"	-17	1
"SRSF1"	-21	4
"BRIP1"	-21.9	1
"KAT7"	-18.7	3
"TMOD1"	-18.8	1
"STX17"	-19.1	1
"PDCL"	-17.4	1
"RANBP6"	-15.7	1
"GMPR"	-17.8	3
"GCM1"	-16.1	1
"PGBD1"	-19.4	1
"FHDC1"	-19.3	2
"TGS1"	-19.1	1
"DCUN1D5"	-17.7	1
"FDX1"	-26.1	2
"CTDSPL2"	-18.6	1
"NUSAP1"	-15.6	1
"NOX5"	-18.9	1
"TMEM62"	-17.4	1
"FNBP1L"	-16	1
"DBR1"	-17.3	1
"TIMM23"	-16.6	1
"SLFN12L"	-19.7	1
"HECW2"	-17.2	1
"WDR12"	-16.7	2
"COX17"	-20.9	1
"TSPAN11"	-21.4	1
"SLC16A7"	-18.2	1
"JKAMP"	-18.9	1
"TRMT5"	-19.3	1
"LYZ"	-17.2	1
"MOCOS"	-17	1
"XYLT1"	-24.2	1
"TBC1D1"	-21.3	1
"DGKH"	-17.2	1
"NARG2"	-21.1	1
"GPATCH2L"	-21.8	3
"POMT2"	-18.3	1
"TMEM260"	-18.2	1
"ZNF430"	-18.2	1
"ARL1"	-14	1
"SCARB1"	-18	1
"ANKRD13A"	-16.1	1
"MESDC2"	-18.2	1
"CDH1"	-18.6	2
"ARG2"	-16.6	1
"NDST1"	-21.7	1
