"SYMBOL"	"energy"	"Nsites"
"HS3ST1"	-23.9	1
"SENP1"	-20.9	1
"RALA"	-19.2	1
"DVL2"	-19.3	1
"OSBPL7"	-19	1
"ITGA3"	-24.1	1
"PGLYRP1"	-24.3	1
"CD4"	-24.9	1
"MAP4K5"	-14.9	1
"GPRC5A"	-21.6	1
"COX15"	-22.8	1
"TLL1"	-19.3	1
"CLDN11"	-20.4	2
"FAM168A"	-23	1
"MRPS35"	-19.9	1
"APPBP2"	-21.3	1
"VASH1"	-28.1	1
"ST6GAL1"	-23.3	1
"C12orf5"	-26.9	1
"TRAM2"	-31.2	2
"DMRT3"	-20.6	1
"OSTM1"	-22.6	2
"IMPG2"	-22.5	1
"ZNF8"	-25.9	2
"ADAM11"	-25.2	1
"ESF1"	-24.7	1
"G2E3"	-21.5	1
"CBX5"	-23.4	1
"SIRT1"	-17.4	1
"STX1B"	-27.2	1
"PCDH11Y"	-19.8	1
"SERPIND1"	-16.3	1
"SNAP29"	-23.6	1
"SF3A1"	-23	1
"SNRPD3"	-24.6	1
"MAPK1"	-24.5	1
"PNPLA3"	-25.3	1
"BRD1"	-23.2	1
"C14orf105"	-20	1
"ALKBH1"	-24.2	1
"EIF5"	-22.4	1
"PYGB"	-24	1
"UBOX5"	-25.1	1
"CHMP4B"	-19.1	1
"LBP"	-20.6	1
"AHCY"	-22.8	1
"FAM83D"	-22.2	1
"SLC25A43"	-18.2	1
"OLFM4"	-18.4	1
"NUTF2"	-25.8	1
"ARL2BP"	-19.5	1
"EHD4"	-21.1	1
"BMF"	-24.7	1
"OIP5"	-21.7	2
"AGO2"	-24.7	1
"EMC2"	-19.6	1
"PAF1"	-19.5	1
"CRX"	-25.8	1
"TWISTNB"	-22.2	1
"H2AFV"	-19.9	1
"CAV2"	-19.8	1
"C1GALT1"	-19.1	1
"FKTN"	-18.5	1
"GDF10"	-20	1
"OBFC1"	-21.5	2
"TBC1D12"	-20.3	1
"NUFIP2"	-20.8	1
"RUNDC3A"	-20.4	1
"GOSR1"	-25.6	1
"DUSP3"	-24.4	1
"FOXN1"	-24.8	1
"CLNK"	-20.6	1
"NAV3"	-18.8	1
"KCTD10"	-20.9	1
"SYT10"	-18.5	1
"PPM1H"	-24.1	1
"CREBL2"	-19.3	1
"CDKN1B"	-20.9	2
"B3GAT2"	-19.6	1
"C6orf118"	-20.9	1
"LAMA4"	-21.2	1
"GHR"	-20.4	1
"RBP2"	-25.3	1
"KLHL18"	-22.4	2
